borrower_id,loan_amount,credit_score,annual_income,dti_ratio,employment_length_years,num_existing_loans,account_age_months,declared_purpose,primary_mcc_category,secondary_mcc_category,mcc_mismatch_flag,days_to_first_tx,pct_spent_48h,pct_spent_7d,cash_withdrawal_ratio,high_risk_spend_ratio,international_tx_ratio,nighttime_tx_ratio,num_unique_merchants,num_total_transactions,avg_tx_amount,max_single_tx_pct,is_flagged_misuse
BW-00610,70587.51,606,106978.48,0.572,19,6,68,Education,ATM Cash,Crypto Exchange,0,19,0.703,1.0,0.779,0.099,0.214,0.479,11,14,4705.83,0.167,0
BW-00611,8734.65,618,137307.15,0.264,18,4,63,Equipment Purchase,Casino,Retail,1,7,0.928,1.0,0.319,0.73,0.076,0.116,20,37,229.86,0.569,1
BW-00612,80943.99,667,175989.13,0.608,4,1,58,Debt Consolidation,Luxury Travel,Casino,0,11,0.686,0.869,0.176,0.072,0.215,0.254,23,35,2248.44,0.529,0
BW-00613,64650.54,608,60210.95,0.226,22,6,23,Business Expansion,ATM Cash,Casino,0,20,0.681,0.916,0.133,0.041,0.351,0.294,13,19,3232.53,0.149,0
BW-00614,12767.11,582,31431.5,0.512,4,4,44,Medical,Retail,Equipment Vendor,0,12,0.224,0.43,0.138,0.071,0.346,0.3,3,5,2127.85,0.175,0
BW-00615,87989.97,599,41295.22,0.447,19,3,109,Medical,Casino,Luxury Travel,0,14,0.535,0.867,0.154,0.871,0.355,0.31,17,30,2838.39,0.425,0
BW-00616,92482.88,568,86377.87,0.512,23,7,83,Education,Casino,Retail,0,10,0.563,0.656,0.61,0.532,0.154,0.135,10,18,4867.52,0.214,0
BW-00617,10802.41,763,153081.7,0.341,3,7,118,Medical,Crypto Exchange,Equipment Vendor,0,16,0.7,0.851,0.049,0.896,0.331,0.31,8,10,982.04,0.506,0
BW-00618,31303.38,746,31071.31,0.613,1,6,109,Business Expansion,Equipment Vendor,Casino,0,20,0.997,1.0,0.798,0.093,0.184,0.289,6,12,2407.95,0.618,0
BW-00619,81589.12,596,98509.59,0.448,12,4,95,Equipment Purchase,Crypto Exchange,Equipment Vendor,1,23,0.034,0.245,0.418,0.773,0.472,0.125,14,28,2813.42,0.688,1
BW-00620,76084.67,716,79384.59,0.259,15,0,44,Business Expansion,Retail,Equipment Vendor,0,26,0.065,0.226,0.435,0.035,0.172,0.593,19,22,3308.03,0.564,0
BW-00621,22529.5,838,37872.26,0.451,21,0,52,Education,ATM Cash,Retail,0,11,0.078,0.09,0.286,0.097,0.302,0.519,24,28,776.88,0.423,0
BW-00622,24888.19,690,97535.44,0.258,1,2,67,Education,Casino,Retail,0,19,0.743,1.0,0.552,0.91,0.375,0.533,22,30,802.84,0.21,0
BW-00623,40194.85,633,68212.31,0.261,18,4,28,Medical,Casino,Retail,0,29,0.136,0.525,0.377,0.879,0.453,0.411,1,3,10048.71,0.31,0
BW-00624,51029.68,731,82782.73,0.32,16,1,67,Business Expansion,Luxury Travel,Luxury Travel,0,17,0.622,0.87,0.263,0.125,0.219,0.096,25,40,1244.63,0.457,0
BW-00625,63734.2,628,135842.3,0.569,4,6,78,Equipment Purchase,Equipment Vendor,Equipment Vendor,0,28,0.325,0.668,0.212,0.099,0.18,0.341,11,26,2360.53,0.885,0
BW-00626,40046.8,764,108232.65,0.375,24,5,18,Business Expansion,Equipment Vendor,Equipment Vendor,0,15,0.457,0.664,0.741,0.005,0.215,0.493,25,43,910.15,0.272,0
BW-00627,48940.8,563,48697.11,0.473,17,5,27,Equipment Purchase,Luxury Travel,Luxury Travel,1,2,0.216,0.309,0.233,0.056,0.162,0.023,25,33,1439.44,0.451,0
BW-00628,76009.74,764,174212.18,0.316,22,3,51,Equipment Purchase,Retail,Casino,0,29,0.866,0.872,0.349,0.076,0.327,0.298,14,33,2235.58,0.722,0
BW-00629,8484.9,677,125386.61,0.245,20,2,60,Business Expansion,Equipment Vendor,Crypto Exchange,0,26,0.586,0.847,0.28,0.11,0.466,0.238,13,13,606.06,0.699,0
BW-00630,28981.51,797,144880.26,0.625,17,4,74,Debt Consolidation,Casino,Casino,0,8,0.945,1.0,0.069,0.45,0.063,0.127,12,28,999.36,0.921,0
BW-00631,72768.21,578,41881.97,0.432,7,1,49,Business Expansion,Retail,Luxury Travel,0,29,0.575,0.888,0.149,0.147,0.28,0.227,22,33,2140.24,0.262,0
BW-00632,90044.65,829,37058.76,0.614,14,2,15,Equipment Purchase,Crypto Exchange,Equipment Vendor,1,6,0.124,0.402,0.152,0.858,0.449,0.59,6,14,6002.98,0.114,1
BW-00633,53609.36,751,32917.21,0.212,12,0,83,Education,Crypto Exchange,Equipment Vendor,0,18,0.171,0.566,0.555,0.582,0.05,0.434,29,33,1576.75,0.374,0
BW-00634,55550.78,606,58319.1,0.181,12,3,73,Education,Retail,Retail,0,4,0.989,1.0,0.325,0.015,0.247,0.18,4,18,2923.73,0.227,0
BW-00635,15181.34,767,92161.26,0.571,15,6,68,Medical,Casino,Retail,0,18,0.726,0.897,0.626,0.7,0.433,0.363,24,36,410.31,0.566,0
BW-00636,47504.17,611,170373.92,0.475,21,6,15,Education,Crypto Exchange,Equipment Vendor,0,9,0.049,0.164,0.567,0.71,0.45,0.148,9,27,1696.58,0.864,0
BW-00637,55598.64,706,98558.95,0.203,19,6,51,Debt Consolidation,ATM Cash,Equipment Vendor,0,19,0.704,0.895,0.154,0.074,0.257,0.367,28,30,1793.5,0.685,0
BW-00638,28034.7,751,73538.27,0.248,12,4,48,Equipment Purchase,Casino,ATM Cash,1,11,0.412,0.761,0.45,0.974,0.012,0.538,7,8,3114.97,0.215,1
BW-00639,30578.11,566,114290.29,0.54,19,5,72,Business Expansion,Luxury Travel,Retail,0,7,0.307,0.324,0.594,0.109,0.053,0.334,7,19,1528.91,0.199,0
BW-00640,40842.0,555,46790.19,0.35,1,1,113,Business Expansion,Equipment Vendor,Retail,0,29,0.154,0.545,0.506,0.03,0.293,0.44,13,19,2042.1,0.875,0
BW-00641,6906.76,607,121425.88,0.469,2,6,117,Debt Consolidation,Retail,Casino,0,2,0.84,1.0,0.48,0.089,0.062,0.272,2,10,627.89,0.514,0
BW-00642,35597.52,718,115264.79,0.275,14,6,1,Education,Equipment Vendor,Equipment Vendor,0,18,0.064,0.303,0.592,0.003,0.075,0.314,2,11,2966.46,0.885,0
BW-00643,25087.56,631,148798.96,0.31,22,0,7,Equipment Purchase,Luxury Travel,Equipment Vendor,1,26,0.29,0.423,0.045,0.06,0.386,0.417,28,28,865.09,0.726,0
BW-00644,36112.25,768,178003.14,0.645,18,7,53,Education,Crypto Exchange,Luxury Travel,0,10,0.306,0.395,0.585,0.797,0.375,0.487,15,30,1164.91,0.944,1
BW-00645,16377.4,726,67631.02,0.236,12,2,31,Medical,ATM Cash,Casino,0,7,0.161,0.272,0.218,0.06,0.421,0.396,26,36,442.63,0.841,0
BW-00646,89600.09,753,106448.47,0.379,4,6,18,Education,Casino,Crypto Exchange,0,25,0.508,0.528,0.457,0.7,0.053,0.586,16,23,3733.34,0.452,0
BW-00647,61391.28,620,166329.81,0.564,21,3,12,Medical,Casino,Crypto Exchange,0,12,0.012,0.202,0.194,0.874,0.099,0.492,27,39,1534.78,0.744,1
BW-00648,69514.72,815,147778.48,0.232,5,2,48,Business Expansion,Luxury Travel,Crypto Exchange,0,25,0.301,0.324,0.671,0.091,0.416,0.466,2,17,3861.93,0.501,0
BW-00649,79971.27,647,103110.95,0.328,13,5,30,Equipment Purchase,Retail,ATM Cash,0,22,0.934,1.0,0.384,0.022,0.361,0.507,20,22,3477.01,0.298,0
BW-00650,52352.01,840,171805.75,0.438,3,2,97,Medical,Equipment Vendor,Retail,0,22,0.311,0.46,0.514,0.057,0.403,0.169,25,37,1377.68,0.305,0
BW-00651,13257.43,757,38585.5,0.365,21,1,111,Education,ATM Cash,Crypto Exchange,0,9,0.36,0.44,0.635,0.001,0.495,0.259,5,21,602.61,0.438,0
BW-00652,56025.12,551,169649.79,0.353,18,0,7,Education,Crypto Exchange,Luxury Travel,0,17,0.473,0.691,0.716,0.475,0.432,0.339,2,7,7003.14,0.195,0
BW-00653,60749.91,673,37576.11,0.299,22,4,92,Business Expansion,Retail,Retail,0,11,0.562,0.952,0.586,0.123,0.26,0.277,20,29,2025.0,0.251,0
BW-00654,75816.75,829,112095.71,0.423,6,1,113,Debt Consolidation,ATM Cash,Retail,0,6,0.809,1.0,0.119,0.094,0.155,0.508,7,15,4738.55,0.526,0
BW-00655,46007.66,623,163566.14,0.443,3,5,3,Debt Consolidation,ATM Cash,Crypto Exchange,0,25,0.19,0.387,0.684,0.118,0.285,0.016,5,22,2000.33,0.911,0
BW-00656,17120.13,715,69408.14,0.459,1,3,107,Education,Luxury Travel,Retail,0,10,0.872,1.0,0.495,0.12,0.319,0.126,11,27,611.43,0.591,0
BW-00657,31958.71,571,100837.27,0.139,6,5,63,Debt Consolidation,Luxury Travel,Casino,0,9,0.758,1.0,0.488,0.128,0.168,0.529,8,14,2130.58,0.447,0
BW-00658,39492.82,703,78649.33,0.447,2,5,6,Equipment Purchase,Casino,Casino,1,2,0.723,1.0,0.737,0.978,0.385,0.035,17,18,2078.57,0.306,1
BW-00659,66362.14,844,172821.59,0.624,14,2,95,Debt Consolidation,Crypto Exchange,Crypto Exchange,0,29,0.087,0.169,0.199,0.898,0.046,0.136,14,24,2654.49,0.267,0
BW-00660,59223.94,768,153546.84,0.398,0,3,102,Equipment Purchase,Retail,Luxury Travel,0,6,0.022,0.366,0.192,0.098,0.39,0.211,29,46,1260.08,0.66,0
BW-00661,38829.19,706,136350.23,0.493,1,1,15,Education,Casino,Retail,0,28,0.594,0.714,0.411,0.413,0.016,0.45,5,7,4853.65,0.821,0
BW-00662,98718.95,779,118144.05,0.406,9,5,71,Education,Crypto Exchange,Equipment Vendor,0,3,0.863,1.0,0.601,0.9,0.249,0.336,4,17,5484.39,0.439,1
BW-00663,62548.61,569,153088.77,0.57,15,1,43,Education,Equipment Vendor,Crypto Exchange,0,28,0.584,0.696,0.358,0.143,0.431,0.573,3,22,2719.5,0.568,0
BW-00664,27536.55,590,88840.06,0.611,24,6,94,Business Expansion,Equipment Vendor,ATM Cash,0,7,0.213,0.584,0.507,0.086,0.043,0.137,7,19,1376.83,0.701,0
BW-00665,14669.33,697,97132.78,0.201,14,6,91,Debt Consolidation,Casino,Retail,0,7,0.091,0.477,0.362,0.727,0.259,0.523,26,42,341.15,0.15,0
BW-00666,19521.62,657,139500.26,0.34,23,6,81,Medical,Retail,Crypto Exchange,0,5,0.7,0.758,0.488,0.039,0.08,0.17,11,21,887.35,0.398,0
BW-00667,28365.98,633,83663.21,0.316,14,4,119,Medical,Crypto Exchange,Crypto Exchange,0,12,0.722,1.0,0.658,0.9,0.447,0.147,1,7,3545.75,0.72,0
BW-00668,20264.73,839,39585.14,0.323,13,2,18,Education,Equipment Vendor,Luxury Travel,0,11,0.173,0.207,0.144,0.028,0.416,0.299,22,24,810.59,0.682,0
BW-00669,22723.87,683,41150.19,0.169,21,1,22,Debt Consolidation,Equipment Vendor,Equipment Vendor,0,2,0.028,0.115,0.556,0.078,0.467,0.043,24,26,841.62,0.145,0
BW-00670,32084.04,756,47304.42,0.547,13,6,61,Equipment Purchase,Retail,Retail,0,5,0.408,0.586,0.63,0.074,0.437,0.231,18,19,1604.2,0.302,0
BW-00671,21470.49,832,160452.2,0.12,5,6,61,Medical,Casino,Crypto Exchange,0,21,0.583,0.98,0.358,0.532,0.368,0.213,22,37,565.01,0.678,0
BW-00672,90192.72,815,100833.96,0.391,13,3,53,Education,Luxury Travel,Crypto Exchange,0,18,0.706,0.901,0.259,0.101,0.092,0.096,27,37,2373.49,0.331,0
BW-00673,12622.21,622,136932.36,0.464,16,5,26,Medical,ATM Cash,Retail,0,10,0.81,1.0,0.011,0.018,0.151,0.516,1,14,841.48,0.792,0
BW-00674,54828.58,597,88936.4,0.214,17,6,115,Medical,Crypto Exchange,Crypto Exchange,0,3,0.611,0.889,0.638,0.8,0.248,0.232,29,31,1713.39,0.125,0
BW-00675,43987.7,782,68806.64,0.598,19,4,91,Medical,Equipment Vendor,Crypto Exchange,0,14,0.111,0.498,0.262,0.058,0.294,0.589,16,22,1912.51,0.262,0
BW-00676,98325.97,649,82078.83,0.561,18,3,40,Education,ATM Cash,Crypto Exchange,0,1,0.683,0.996,0.286,0.061,0.391,0.54,13,20,4682.19,0.339,0
BW-00677,15643.7,608,149127.35,0.359,16,2,88,Education,ATM Cash,Casino,0,14,0.984,1.0,0.269,0.048,0.113,0.117,6,18,823.35,0.886,1
BW-00678,42796.28,807,123782.42,0.326,15,7,116,Business Expansion,Luxury Travel,Casino,0,16,0.906,1.0,0.399,0.039,0.064,0.303,6,24,1711.85,0.777,0
BW-00679,97099.69,614,170645.97,0.23,7,7,8,Business Expansion,ATM Cash,Equipment Vendor,0,1,0.872,0.911,0.562,0.051,0.241,0.361,21,31,3034.37,0.852,0
BW-00680,87223.18,632,131955.72,0.501,6,4,21,Business Expansion,Retail,Luxury Travel,0,6,0.302,0.56,0.617,0.025,0.079,0.491,23,23,3634.3,0.474,0
BW-00681,82621.85,703,115527.24,0.172,19,4,93,Medical,Casino,Retail,0,25,0.751,0.823,0.314,0.658,0.347,0.531,14,32,2503.69,0.799,0
BW-00682,29500.77,815,121529.4,0.474,11,4,43,Debt Consolidation,Crypto Exchange,Luxury Travel,0,15,0.851,0.954,0.53,0.574,0.288,0.374,5,17,1638.93,0.825,0
BW-00683,21234.32,628,171355.72,0.563,8,5,21,Education,Retail,Luxury Travel,0,4,0.678,1.0,0.577,0.034,0.371,0.021,8,24,849.37,0.44,0
BW-00684,68521.11,699,148230.14,0.226,13,7,3,Business Expansion,Casino,Casino,0,15,0.251,0.382,0.238,0.684,0.032,0.289,18,26,2537.82,0.945,0
BW-00685,93290.72,597,33606.19,0.577,19,6,31,Debt Consolidation,Retail,Equipment Vendor,0,24,0.954,1.0,0.077,0.021,0.482,0.531,6,24,3731.63,0.824,0
BW-00686,57892.47,797,110120.95,0.118,0,0,119,Business Expansion,Equipment Vendor,Luxury Travel,0,18,0.451,0.61,0.716,0.053,0.0,0.428,5,23,2412.19,0.928,0
BW-00687,59303.21,827,133250.76,0.602,9,4,27,Business Expansion,Equipment Vendor,Luxury Travel,0,1,0.13,0.16,0.542,0.048,0.163,0.522,10,15,3706.45,0.837,0
BW-00688,31598.01,647,142304.77,0.165,16,3,110,Debt Consolidation,Luxury Travel,Crypto Exchange,0,14,0.11,0.255,0.518,0.141,0.34,0.404,18,24,1263.92,0.76,0
BW-00689,78101.83,574,61971.32,0.455,16,7,27,Business Expansion,Retail,Retail,0,3,0.648,0.811,0.047,0.064,0.023,0.026,27,31,2440.68,0.902,0
BW-00690,22769.16,833,160076.6,0.238,16,3,73,Medical,ATM Cash,Equipment Vendor,0,1,0.438,0.796,0.654,0.104,0.042,0.581,13,20,1084.25,0.457,0
BW-00691,35749.53,617,173376.47,0.56,3,2,57,Medical,Equipment Vendor,Retail,0,26,0.094,0.224,0.453,0.09,0.038,0.551,23,36,966.2,0.766,0
BW-00692,45416.46,556,65507.3,0.382,16,1,97,Medical,Casino,Casino,0,22,0.74,0.892,0.678,0.486,0.291,0.076,20,37,1195.17,0.281,0
BW-00693,53222.99,686,162392.32,0.174,17,1,33,Equipment Purchase,Luxury Travel,Luxury Travel,1,9,0.799,1.0,0.78,0.141,0.448,0.068,6,25,2047.04,0.723,1
BW-00694,28028.92,713,44546.81,0.414,19,0,90,Business Expansion,ATM Cash,Luxury Travel,0,21,0.725,1.0,0.766,0.052,0.278,0.323,21,23,1167.87,0.768,0
BW-00695,15909.5,632,38356.03,0.324,22,5,92,Equipment Purchase,Crypto Exchange,ATM Cash,1,23,0.202,0.521,0.685,0.575,0.302,0.454,4,11,1325.79,0.709,1
BW-00696,63008.9,687,49383.57,0.464,1,6,44,Education,Retail,Retail,0,28,0.69,1.0,0.009,0.045,0.173,0.229,13,26,2333.66,0.822,0
BW-00697,32419.9,622,38661.16,0.585,7,5,43,Debt Consolidation,Equipment Vendor,Casino,0,4,0.011,0.329,0.709,0.05,0.009,0.082,18,31,1013.12,0.451,0
BW-00698,60217.63,786,156751.84,0.325,12,6,31,Education,ATM Cash,ATM Cash,0,17,0.305,0.468,0.06,0.014,0.011,0.306,13,19,3010.88,0.563,0
BW-00699,19664.46,595,38857.52,0.259,22,4,117,Equipment Purchase,Casino,ATM Cash,1,28,0.399,0.728,0.681,0.738,0.444,0.203,13,18,1034.97,0.109,1
BW-00700,50708.31,655,70749.63,0.108,24,7,65,Medical,Retail,Crypto Exchange,0,3,0.835,1.0,0.224,0.052,0.051,0.211,7,12,3900.64,0.224,0
BW-00701,55596.0,837,45563.45,0.416,21,6,84,Business Expansion,Casino,ATM Cash,0,0,0.39,0.501,0.488,0.703,0.5,0.387,5,16,3270.35,0.648,0
BW-00702,9923.24,811,74313.31,0.321,19,7,76,Business Expansion,Luxury Travel,ATM Cash,0,17,0.011,0.132,0.03,0.001,0.082,0.531,29,43,225.53,0.578,0
BW-00703,36977.41,725,43583.92,0.306,21,0,17,Medical,Equipment Vendor,Crypto Exchange,0,19,0.352,0.442,0.617,0.147,0.337,0.335,3,21,1680.79,0.268,0
BW-00704,17769.39,715,130200.49,0.201,14,2,15,Business Expansion,Equipment Vendor,Luxury Travel,0,5,0.499,0.557,0.089,0.026,0.474,0.413,6,9,1776.94,0.307,0
BW-00705,11020.62,694,49999.02,0.337,19,2,34,Debt Consolidation,Luxury Travel,Luxury Travel,0,19,0.949,1.0,0.329,0.099,0.181,0.396,8,10,1001.87,0.392,0
BW-00706,99046.22,832,157776.89,0.641,22,1,114,Debt Consolidation,Casino,Equipment Vendor,0,19,0.941,0.966,0.654,0.776,0.367,0.331,27,39,2476.16,0.709,1
BW-00707,35623.62,603,152578.66,0.264,8,2,80,Debt Consolidation,Retail,ATM Cash,0,13,0.181,0.536,0.556,0.026,0.175,0.186,26,41,848.18,0.618,0
BW-00708,81938.07,727,32049.25,0.43,2,4,4,Education,Casino,Retail,0,26,0.185,0.557,0.005,0.498,0.152,0.227,26,38,2100.98,0.159,0
BW-00709,29190.86,793,164358.95,0.527,2,3,72,Medical,Retail,Luxury Travel,0,25,0.163,0.398,0.322,0.023,0.101,0.189,12,21,1326.86,0.746,0
BW-00710,69742.76,676,34341.65,0.512,1,2,98,Debt Consolidation,ATM Cash,Casino,0,9,0.789,1.0,0.034,0.037,0.41,0.55,2,14,4649.52,0.323,0
BW-00711,77221.65,820,65946.87,0.281,0,0,110,Equipment Purchase,Luxury Travel,Retail,1,17,0.006,0.079,0.539,0.025,0.129,0.496,11,18,4064.3,0.671,0
BW-00712,61585.68,681,34858.37,0.436,13,4,89,Debt Consolidation,Crypto Exchange,Equipment Vendor,0,8,0.127,0.488,0.775,0.998,0.142,0.348,26,37,1620.68,0.205,1
BW-00713,49799.74,642,80376.52,0.579,16,2,79,Education,Retail,ATM Cash,0,11,0.538,0.741,0.524,0.063,0.499,0.547,28,35,1383.33,0.948,0
BW-00714,44124.89,622,107079.98,0.108,12,5,28,Equipment Purchase,Equipment Vendor,Crypto Exchange,0,9,0.248,0.275,0.179,0.081,0.164,0.532,20,28,1521.55,0.168,0
BW-00715,38142.49,797,149496.73,0.34,18,6,73,Medical,ATM Cash,Equipment Vendor,0,23,0.092,0.149,0.284,0.007,0.211,0.557,3,12,2934.04,0.73,0
BW-00716,93305.27,822,80697.23,0.223,22,2,2,Medical,Equipment Vendor,Retail,0,23,0.36,0.484,0.781,0.129,0.495,0.133,23,29,3110.18,0.56,0
BW-00717,83908.84,592,135823.5,0.314,14,5,17,Debt Consolidation,ATM Cash,Crypto Exchange,0,20,0.274,0.291,0.179,0.026,0.185,0.431,10,12,6454.53,0.173,0
BW-00718,96677.56,590,58125.67,0.329,24,4,58,Equipment Purchase,Equipment Vendor,Casino,0,18,0.511,0.635,0.449,0.054,0.183,0.366,8,12,7436.74,0.123,0
BW-00719,16808.24,719,142589.77,0.511,13,2,74,Equipment Purchase,Casino,Crypto Exchange,1,5,0.979,1.0,0.32,0.672,0.414,0.44,8,10,1528.02,0.408,1
BW-00720,74432.41,761,65399.49,0.152,1,5,9,Debt Consolidation,Casino,Crypto Exchange,0,13,0.124,0.218,0.615,0.878,0.156,0.158,14,31,2326.01,0.782,1
BW-00721,94142.34,717,51531.71,0.382,6,3,31,Debt Consolidation,Casino,Casino,0,24,0.373,0.479,0.694,0.53,0.117,0.417,4,22,4093.15,0.135,0
BW-00722,22217.14,588,57811.33,0.41,16,7,66,Business Expansion,ATM Cash,Luxury Travel,0,7,0.932,1.0,0.273,0.104,0.212,0.246,15,24,888.69,0.699,0
BW-00723,11317.15,794,57309.47,0.372,17,1,88,Business Expansion,ATM Cash,Luxury Travel,0,22,0.877,0.971,0.528,0.102,0.35,0.5,10,18,595.64,0.657,0
BW-00724,75406.46,700,106929.43,0.503,5,4,62,Debt Consolidation,Equipment Vendor,Crypto Exchange,0,13,0.394,0.49,0.439,0.083,0.022,0.477,18,24,3016.26,0.326,0
BW-00725,59574.95,660,156719.64,0.311,20,5,19,Education,Retail,Crypto Exchange,0,10,0.699,0.974,0.223,0.143,0.187,0.127,22,22,2590.22,0.166,0
BW-00726,84973.73,596,41940.76,0.62,7,0,81,Business Expansion,ATM Cash,Equipment Vendor,0,23,0.088,0.432,0.218,0.076,0.173,0.11,15,24,3398.95,0.878,0
BW-00727,18278.38,612,136043.45,0.365,1,7,107,Debt Consolidation,Equipment Vendor,Luxury Travel,0,15,0.713,0.868,0.431,0.067,0.122,0.431,19,20,870.4,0.355,0
BW-00728,80550.39,774,128151.97,0.414,0,2,113,Equipment Purchase,Retail,Casino,0,19,0.973,1.0,0.123,0.037,0.327,0.33,24,29,2685.01,0.195,0
BW-00729,24154.6,618,160877.99,0.554,15,5,74,Business Expansion,Casino,ATM Cash,0,5,0.537,0.673,0.649,0.428,0.145,0.334,3,8,2683.84,0.679,0
BW-00730,20547.31,848,66622.13,0.251,6,7,114,Education,ATM Cash,ATM Cash,0,14,0.498,0.577,0.055,0.082,0.303,0.452,2,9,2054.73,0.284,0
BW-00731,20605.25,839,97516.48,0.141,21,6,55,Medical,Crypto Exchange,Crypto Exchange,0,14,0.187,0.319,0.076,0.459,0.252,0.513,13,30,664.69,0.504,0
BW-00732,82384.6,845,168874.11,0.489,23,7,28,Equipment Purchase,Casino,Crypto Exchange,1,13,0.634,0.878,0.274,0.568,0.109,0.143,13,19,4119.23,0.143,1
BW-00733,68193.74,752,128999.02,0.366,10,5,102,Education,Luxury Travel,ATM Cash,0,20,0.59,0.737,0.094,0.031,0.133,0.333,25,42,1585.9,0.944,0
BW-00734,54691.22,610,88315.26,0.593,14,5,112,Education,Retail,Equipment Vendor,0,11,0.652,0.921,0.381,0.126,0.085,0.497,9,9,5469.12,0.48,0
BW-00735,39088.9,710,49711.86,0.64,12,6,92,Education,Crypto Exchange,Equipment Vendor,0,1,0.026,0.121,0.32,0.903,0.028,0.524,25,38,1002.28,0.949,0
BW-00736,88334.05,565,69372.75,0.32,23,1,114,Equipment Purchase,Casino,Equipment Vendor,1,7,0.549,0.829,0.577,0.769,0.31,0.172,3,22,3840.61,0.428,1
BW-00737,42282.29,643,117182.32,0.328,1,7,116,Education,ATM Cash,Retail,0,18,0.595,0.734,0.762,0.126,0.336,0.062,2,8,4698.03,0.396,0
BW-00738,82576.95,687,137725.19,0.324,13,6,50,Medical,Crypto Exchange,Casino,0,13,0.208,0.39,0.603,0.923,0.083,0.14,14,33,2428.73,0.877,1
BW-00739,46717.82,587,48663.28,0.279,23,6,65,Business Expansion,Equipment Vendor,Retail,0,4,0.208,0.431,0.144,0.149,0.308,0.567,16,22,2031.21,0.38,0
BW-00740,40809.72,676,119939.59,0.53,5,7,3,Equipment Purchase,Retail,Crypto Exchange,0,23,0.276,0.55,0.748,0.051,0.491,0.277,14,17,2267.21,0.467,0
BW-00741,48954.58,824,112552.69,0.517,8,0,79,Education,Luxury Travel,Equipment Vendor,0,26,0.712,0.807,0.314,0.113,0.037,0.251,4,8,5439.4,0.166,0
BW-00742,33630.9,713,107093.32,0.363,6,6,52,Debt Consolidation,Equipment Vendor,Equipment Vendor,0,8,0.606,0.94,0.379,0.034,0.245,0.008,2,2,11210.3,0.912,0
BW-00743,76022.89,626,133518.47,0.125,17,0,10,Business Expansion,Crypto Exchange,ATM Cash,0,12,0.846,1.0,0.337,0.701,0.367,0.031,16,35,2111.75,0.172,0
BW-00744,52758.44,723,155617.44,0.27,23,3,21,Equipment Purchase,Casino,ATM Cash,1,8,0.296,0.39,0.224,0.624,0.023,0.401,8,10,4796.22,0.756,1
BW-00745,27060.21,640,78448.45,0.261,8,7,37,Debt Consolidation,Retail,Equipment Vendor,0,13,0.912,1.0,0.716,0.111,0.389,0.354,26,38,693.85,0.558,0
BW-00746,90459.58,787,163351.83,0.546,22,6,15,Debt Consolidation,ATM Cash,Luxury Travel,0,4,0.744,1.0,0.266,0.031,0.49,0.345,1,7,11307.45,0.152,0
BW-00747,41469.67,813,54095.04,0.148,3,1,87,Education,Luxury Travel,ATM Cash,0,1,0.395,0.576,0.463,0.127,0.044,0.066,18,23,1727.9,0.101,0
BW-00748,56637.52,728,55953.58,0.543,8,6,78,Equipment Purchase,Casino,Casino,1,6,0.095,0.158,0.192,0.756,0.411,0.211,22,27,2022.77,0.895,1
BW-00749,91114.85,758,70015.81,0.468,3,5,79,Education,Luxury Travel,Retail,0,15,0.257,0.47,0.638,0.032,0.189,0.487,9,10,8283.17,0.731,0
BW-00750,64302.61,622,47929.63,0.503,11,4,74,Medical,ATM Cash,Casino,0,10,0.957,1.0,0.619,0.081,0.072,0.105,26,41,1531.01,0.683,1
BW-00751,16105.31,656,64547.88,0.338,3,1,9,Debt Consolidation,Retail,ATM Cash,0,10,0.31,0.482,0.237,0.13,0.247,0.53,12,17,894.74,0.473,0
BW-00752,94284.05,844,45961.76,0.474,24,6,44,Medical,Crypto Exchange,Equipment Vendor,0,22,0.33,0.493,0.545,0.789,0.036,0.073,5,12,7252.62,0.303,0
BW-00753,64632.27,833,153262.86,0.435,23,1,39,Education,Luxury Travel,Crypto Exchange,0,11,0.19,0.478,0.563,0.112,0.261,0.101,21,31,2019.76,0.678,0
BW-00754,36816.03,731,50845.35,0.523,19,7,5,Business Expansion,Retail,Luxury Travel,0,12,0.807,0.884,0.45,0.001,0.01,0.287,3,20,1753.14,0.617,0
BW-00755,18230.85,586,142094.63,0.346,13,0,25,Debt Consolidation,Luxury Travel,ATM Cash,0,7,0.276,0.605,0.48,0.02,0.364,0.567,8,13,1302.2,0.717,0
BW-00756,80432.39,686,37187.08,0.36,23,3,56,Business Expansion,Casino,Casino,0,23,0.33,0.46,0.46,0.486,0.244,0.198,28,41,1915.06,0.411,0
BW-00757,63906.91,605,172278.05,0.454,23,3,106,Equipment Purchase,Luxury Travel,Crypto Exchange,1,15,0.414,0.592,0.065,0.015,0.229,0.395,22,36,1727.21,0.939,1
BW-00758,55678.8,736,136674.01,0.159,6,7,90,Debt Consolidation,Casino,ATM Cash,0,20,0.434,0.743,0.536,0.427,0.098,0.353,26,36,1504.83,0.157,0
BW-00759,89919.8,807,31019.48,0.34,12,7,64,Medical,Casino,Equipment Vendor,0,0,0.411,0.661,0.376,0.681,0.181,0.09,28,42,2091.16,0.168,0
BW-00760,79916.74,607,144578.48,0.635,21,1,72,Business Expansion,Retail,Equipment Vendor,0,12,0.504,0.627,0.351,0.017,0.091,0.149,16,28,2755.75,0.879,0
BW-00761,19409.11,672,107112.29,0.121,7,7,86,Equipment Purchase,Equipment Vendor,Equipment Vendor,0,10,0.815,0.969,0.688,0.132,0.368,0.558,18,23,808.71,0.651,0
